ts,rate
1780927200.035,1.25e-05
1780930800.045,1.25e-05
1780934400.055,1.25e-05
1780938000.075,1.25e-05
1780941600.012,1.25e-05
1780945200.027,7.6548e-06
1780948800.032,1.15462e-05
1780952400.056,1.19508e-05
1780956000.019,1.1924e-05
1780959600.022,8.1008e-06
1780963200.005,6.0949e-06
1780966800.014,8.7593e-06
1780970400.051,7.7685e-06
1780974000.043,2.3737e-06
1780977600.002,4.747e-06
1780981200.011,1.25e-05
1780984800.06,1.25e-05
1780988400.027,1.25e-05
1780992000.081,1.25e-05
1780995600.001,1.25e-05
1780999200.031,9.5852e-06
1781002800.067,1.15313e-05
1781006400.036,1.18977e-05
1781010000.031,1.25e-05
1781013600.014,1.25e-05
1781017200.029,1.25e-05
1781020800.059,1.25e-05
1781024400.048,1.25e-05
1781028000.032,1.25e-05
1781031600.014,1.25e-05
1781035200.045,1.0431e-05
1781038800.056,9.4667e-06
1781042400.063,4.127e-07
1781046000.059,1.2339e-06
1781049600.07,2.4159e-06
1781053200.0,1.4565e-06
1781056800.069,4.964e-07
1781060400.03,-6.009e-07
1781064000.056,-6.14e-08
1781067600.003,8.6005e-06
1781071200.052,-1.9732e-06
1781074800.059,-2.8166e-06
1781078400.06,-1.8565e-06
1781082000.053,-5.2185e-06
1781085600.013,2.2075e-06
1781089200.011,5.6886e-06
1781092800.032,2.0827e-06
1781096400.058,9.9992e-06
1781100000.031,1.17385e-05
1781103600.057,1.25e-05
1781107200.069,1.25e-05
1781110800.012,3.8595e-06
1781114400.035,1.07976e-05
1781118000.046,1.15958e-05
1781121600.093,1.25e-05
1781125200.023,1.25e-05
1781128800.019,7.5043e-06
1781132400.077,6.7179e-06
1781136000.009,8.7489e-06
1781139600.039,1.25e-05
1781143200.02,1.25e-05
1781146800.013,2.8632e-06
1781150400.009,9.7258e-06
1781154000.046,4.2621e-06
1781157600.039,3.9427e-06
1781161200.008,-8.784e-07
1781164800.045,9.61e-07
1781168400.054,3.5615e-06
1781172000.038,2.5228e-06
1781175600.033,7.4415e-06
1781179200.033,4.9882e-06
1781182800.055,2.2406e-06
1781186400.02,2.9413e-06
1781190000.013,1.0337e-06
1781193600.017,-3.225e-06
1781197200.083,1.041e-07
1781200800.016,5.8942e-06
1781204400.018,1.25e-05
1781208000.005,1.25e-05
