ts,venue,coin,mid
1780925400.0,hyperliquid,BTC,63459.0
1780926300.0,hyperliquid,BTC,63728.0
1780927200.0,hyperliquid,BTC,63846.0
1780928100.0,hyperliquid,BTC,63739.0
1780929000.0,hyperliquid,BTC,63866.0
1780929900.0,hyperliquid,BTC,63943.0
1780930800.0,hyperliquid,BTC,64173.0
1780931700.0,hyperliquid,BTC,63976.0
1780932600.0,hyperliquid,BTC,63842.0
1780933500.0,hyperliquid,BTC,63755.0
1780934400.0,hyperliquid,BTC,63782.0
1780935300.0,hyperliquid,BTC,63852.0
1780936200.0,hyperliquid,BTC,63654.0
1780937100.0,hyperliquid,BTC,63505.0
1780938000.0,hyperliquid,BTC,63334.0
1780938900.0,hyperliquid,BTC,63599.0
1780939800.0,hyperliquid,BTC,63354.0
1780940700.0,hyperliquid,BTC,63536.0
1780941600.0,hyperliquid,BTC,63566.0
1780942500.0,hyperliquid,BTC,63608.0
1780943400.0,hyperliquid,BTC,63467.0
1780944300.0,hyperliquid,BTC,63440.0
1780945200.0,hyperliquid,BTC,63396.0
1780946100.0,hyperliquid,BTC,63499.0
1780947000.0,hyperliquid,BTC,63460.0
1780947900.0,hyperliquid,BTC,63349.0
1780948800.0,hyperliquid,BTC,63218.0
1780949700.0,hyperliquid,BTC,63152.0
1780950600.0,hyperliquid,BTC,63364.0
1780951500.0,hyperliquid,BTC,63459.0
1780952400.0,hyperliquid,BTC,63696.0
1780953300.0,hyperliquid,BTC,63692.0
1780954200.0,hyperliquid,BTC,63807.0
1780955100.0,hyperliquid,BTC,63693.0
1780956000.0,hyperliquid,BTC,63262.0
1780956900.0,hyperliquid,BTC,63333.0
1780957800.0,hyperliquid,BTC,63278.0
1780958700.0,hyperliquid,BTC,63417.0
1780959600.0,hyperliquid,BTC,63566.0
1780960500.0,hyperliquid,BTC,63119.0
1780961400.0,hyperliquid,BTC,63106.0
1780962300.0,hyperliquid,BTC,63058.0
1780963200.0,hyperliquid,BTC,62976.0
1780964100.0,hyperliquid,BTC,62701.0
1780965000.0,hyperliquid,BTC,62687.0
1780965900.0,hyperliquid,BTC,62537.0
1780966800.0,hyperliquid,BTC,62643.0
1780967700.0,hyperliquid,BTC,62752.0
1780968600.0,hyperliquid,BTC,62674.0
1780969500.0,hyperliquid,BTC,62730.0
1780970400.0,hyperliquid,BTC,62711.0
1780971300.0,hyperliquid,BTC,62747.0
1780972200.0,hyperliquid,BTC,62626.0
1780973100.0,hyperliquid,BTC,62850.0
1780974000.0,hyperliquid,BTC,62887.0
1780974900.0,hyperliquid,BTC,62780.0
1780975800.0,hyperliquid,BTC,62794.0
1780976700.0,hyperliquid,BTC,62847.0
1780977600.0,hyperliquid,BTC,62885.0
1780978500.0,hyperliquid,BTC,62766.0
1780979400.0,hyperliquid,BTC,63219.0
1780980300.0,hyperliquid,BTC,63222.0
1780981200.0,hyperliquid,BTC,63229.0
1780982100.0,hyperliquid,BTC,63305.0
1780983000.0,hyperliquid,BTC,63361.0
1780983900.0,hyperliquid,BTC,63323.0
1780984800.0,hyperliquid,BTC,63349.0
1780985700.0,hyperliquid,BTC,63409.0
1780986600.0,hyperliquid,BTC,63325.0
1780987500.0,hyperliquid,BTC,63280.0
1780988400.0,hyperliquid,BTC,63275.0
1780989300.0,hyperliquid,BTC,63009.0
1780990200.0,hyperliquid,BTC,63165.0
1780991100.0,hyperliquid,BTC,63178.0
1780992000.0,hyperliquid,BTC,62898.0
1780992900.0,hyperliquid,BTC,62851.0
1780993800.0,hyperliquid,BTC,62959.0
1780994700.0,hyperliquid,BTC,62823.0
1780995600.0,hyperliquid,BTC,62828.0
1780996500.0,hyperliquid,BTC,62794.0
1780997400.0,hyperliquid,BTC,62642.0
1780998300.0,hyperliquid,BTC,62687.0
1780999200.0,hyperliquid,BTC,62757.0
1781000100.0,hyperliquid,BTC,62718.0
1781001000.0,hyperliquid,BTC,62681.0
1781001900.0,hyperliquid,BTC,62764.0
1781002800.0,hyperliquid,BTC,62500.0
1781003700.0,hyperliquid,BTC,62573.0
1781004600.0,hyperliquid,BTC,62609.0
1781005500.0,hyperliquid,BTC,62682.0
1781006400.0,hyperliquid,BTC,62815.0
1781007300.0,hyperliquid,BTC,62629.0
1781008200.0,hyperliquid,BTC,62490.0
1781009100.0,hyperliquid,BTC,62613.0
1781010000.0,hyperliquid,BTC,62534.0
1781010900.0,hyperliquid,BTC,62322.0
1781011800.0,hyperliquid,BTC,62404.0
1781012700.0,hyperliquid,BTC,62254.0
1781013600.0,hyperliquid,BTC,61989.0
1781014500.0,hyperliquid,BTC,61574.0
1781015400.0,hyperliquid,BTC,61340.0
1781016300.0,hyperliquid,BTC,61533.0
1781017200.0,hyperliquid,BTC,61631.0
1781018100.0,hyperliquid,BTC,61285.0
1781019000.0,hyperliquid,BTC,61294.0
1781019900.0,hyperliquid,BTC,61111.0
1781020800.0,hyperliquid,BTC,60974.0
1781021700.0,hyperliquid,BTC,61026.0
1781022600.0,hyperliquid,BTC,61234.0
1781023500.0,hyperliquid,BTC,61369.0
1781024400.0,hyperliquid,BTC,61589.0
1781025300.0,hyperliquid,BTC,61730.0
1781026200.0,hyperliquid,BTC,61665.0
1781027100.0,hyperliquid,BTC,61671.0
1781028000.0,hyperliquid,BTC,61730.0
1781028900.0,hyperliquid,BTC,61708.0
1781029800.0,hyperliquid,BTC,61572.0
1781030700.0,hyperliquid,BTC,61763.0
1781031600.0,hyperliquid,BTC,61751.0
1781032500.0,hyperliquid,BTC,61840.0
1781033400.0,hyperliquid,BTC,61854.0
1781034300.0,hyperliquid,BTC,62074.0
1781035200.0,hyperliquid,BTC,62188.0
1781036100.0,hyperliquid,BTC,62068.0
1781037000.0,hyperliquid,BTC,62104.0
1781037900.0,hyperliquid,BTC,62139.0
1781038800.0,hyperliquid,BTC,62116.0
1781039700.0,hyperliquid,BTC,61762.0
1781040600.0,hyperliquid,BTC,61765.0
1781041500.0,hyperliquid,BTC,61728.0
1781042400.0,hyperliquid,BTC,61808.0
1781043300.0,hyperliquid,BTC,61787.0
1781044200.0,hyperliquid,BTC,61827.0
1781045100.0,hyperliquid,BTC,61689.0
1781046000.0,hyperliquid,BTC,61719.0
1781046900.0,hyperliquid,BTC,61658.0
1781047800.0,hyperliquid,BTC,61604.0
1781048700.0,hyperliquid,BTC,61695.0
1781049600.0,hyperliquid,BTC,61806.0
1781050500.0,hyperliquid,BTC,61822.0
1781051400.0,hyperliquid,BTC,61484.0
1781052300.0,hyperliquid,BTC,61889.0
1781053200.0,hyperliquid,BTC,61800.0
1781054100.0,hyperliquid,BTC,61802.0
1781055000.0,hyperliquid,BTC,61607.0
1781055900.0,hyperliquid,BTC,61684.0
1781056800.0,hyperliquid,BTC,61520.0
1781057700.0,hyperliquid,BTC,61462.0
1781058600.0,hyperliquid,BTC,61337.0
1781059500.0,hyperliquid,BTC,61272.0
1781060400.0,hyperliquid,BTC,61398.0
1781061300.0,hyperliquid,BTC,61550.0
1781062200.0,hyperliquid,BTC,61494.0
1781063100.0,hyperliquid,BTC,61521.0
1781064000.0,hyperliquid,BTC,61481.0
1781064900.0,hyperliquid,BTC,61443.0
1781065800.0,hyperliquid,BTC,61197.0
1781066700.0,hyperliquid,BTC,61269.0
1781067600.0,hyperliquid,BTC,61131.0
1781068500.0,hyperliquid,BTC,61231.0
1781069400.0,hyperliquid,BTC,61246.0
1781070300.0,hyperliquid,BTC,61316.0
1781071200.0,hyperliquid,BTC,61360.0
1781072100.0,hyperliquid,BTC,61317.0
1781073000.0,hyperliquid,BTC,61402.0
1781073900.0,hyperliquid,BTC,61433.0
1781074800.0,hyperliquid,BTC,61541.0
1781075700.0,hyperliquid,BTC,61615.0
1781076600.0,hyperliquid,BTC,61729.0
1781077500.0,hyperliquid,BTC,61645.0
1781078400.0,hyperliquid,BTC,61584.0
1781079300.0,hyperliquid,BTC,61506.0
1781080200.0,hyperliquid,BTC,61210.0
1781081100.0,hyperliquid,BTC,61230.0
1781082000.0,hyperliquid,BTC,61029.0
1781082900.0,hyperliquid,BTC,61181.0
1781083800.0,hyperliquid,BTC,61235.0
1781084700.0,hyperliquid,BTC,61299.0
1781085600.0,hyperliquid,BTC,61212.0
1781086500.0,hyperliquid,BTC,61308.0
1781087400.0,hyperliquid,BTC,61286.0
1781088300.0,hyperliquid,BTC,61354.0
1781089200.0,hyperliquid,BTC,61137.0
1781090100.0,hyperliquid,BTC,60935.0
1781091000.0,hyperliquid,BTC,60988.0
1781091900.0,hyperliquid,BTC,61000.0
1781092800.0,hyperliquid,BTC,61168.0
1781093700.0,hyperliquid,BTC,61142.0
1781094600.0,hyperliquid,BTC,61667.0
1781095500.0,hyperliquid,BTC,61537.0
1781096400.0,hyperliquid,BTC,61495.0
1781097300.0,hyperliquid,BTC,61530.0
1781098200.0,hyperliquid,BTC,62368.0
1781099100.0,hyperliquid,BTC,62115.0
1781100000.0,hyperliquid,BTC,61974.0
1781100900.0,hyperliquid,BTC,62029.0
1781101800.0,hyperliquid,BTC,61926.0
1781102700.0,hyperliquid,BTC,62181.0
1781103600.0,hyperliquid,BTC,61916.0
1781104500.0,hyperliquid,BTC,62240.0
1781105400.0,hyperliquid,BTC,62366.0
1781106300.0,hyperliquid,BTC,62609.0
1781107200.0,hyperliquid,BTC,62304.0
1781108100.0,hyperliquid,BTC,62251.0
1781109000.0,hyperliquid,BTC,62195.0
1781109900.0,hyperliquid,BTC,62189.0
1781110800.0,hyperliquid,BTC,62069.0
1781111700.0,hyperliquid,BTC,61874.0
1781112600.0,hyperliquid,BTC,61723.0
1781113500.0,hyperliquid,BTC,61954.0
1781114400.0,hyperliquid,BTC,61928.0
1781115300.0,hyperliquid,BTC,62000.0
1781116200.0,hyperliquid,BTC,61758.0
1781117100.0,hyperliquid,BTC,61850.0
1781118000.0,hyperliquid,BTC,61728.0
1781118900.0,hyperliquid,BTC,61767.0
1781119800.0,hyperliquid,BTC,62004.0
1781120700.0,hyperliquid,BTC,61921.0
1781121600.0,hyperliquid,BTC,61790.0
1781122500.0,hyperliquid,BTC,61890.0
1781123400.0,hyperliquid,BTC,61792.0
1781124300.0,hyperliquid,BTC,61779.0
1781125200.0,hyperliquid,BTC,61519.0
1781126100.0,hyperliquid,BTC,61547.0
1781127000.0,hyperliquid,BTC,61660.0
1781127900.0,hyperliquid,BTC,61325.0
1781128800.0,hyperliquid,BTC,61213.0
1781129700.0,hyperliquid,BTC,61229.0
1781130600.0,hyperliquid,BTC,61525.0
1781131500.0,hyperliquid,BTC,61346.0
1781132400.0,hyperliquid,BTC,61180.0
1781133300.0,hyperliquid,BTC,61526.0
1781134200.0,hyperliquid,BTC,61519.0
1781135100.0,hyperliquid,BTC,61481.0
1781136000.0,hyperliquid,BTC,61667.0
1781136900.0,hyperliquid,BTC,61856.0
1781137800.0,hyperliquid,BTC,61756.0
1781138700.0,hyperliquid,BTC,61795.0
1781139600.0,hyperliquid,BTC,62014.0
1781140500.0,hyperliquid,BTC,62143.0
1781141400.0,hyperliquid,BTC,62233.0
1781142300.0,hyperliquid,BTC,62181.0
1781143200.0,hyperliquid,BTC,62148.0
1781144100.0,hyperliquid,BTC,62031.0
1781145000.0,hyperliquid,BTC,62043.0
1781145900.0,hyperliquid,BTC,62127.0
1781146800.0,hyperliquid,BTC,62043.0
1781147700.0,hyperliquid,BTC,62079.0
1781148600.0,hyperliquid,BTC,62347.0
1781149500.0,hyperliquid,BTC,62659.0
1781150400.0,hyperliquid,BTC,62642.0
1781151300.0,hyperliquid,BTC,62590.0
1781152200.0,hyperliquid,BTC,62631.0
1781153100.0,hyperliquid,BTC,62692.0
1781154000.0,hyperliquid,BTC,62597.0
1781154900.0,hyperliquid,BTC,62599.0
1781155800.0,hyperliquid,BTC,62673.0
1781156700.0,hyperliquid,BTC,62574.0
1781157600.0,hyperliquid,BTC,62749.0
1781158500.0,hyperliquid,BTC,62832.0
1781159400.0,hyperliquid,BTC,62909.0
1781160300.0,hyperliquid,BTC,62732.0
1781161200.0,hyperliquid,BTC,62628.0
1781162100.0,hyperliquid,BTC,62761.0
1781163000.0,hyperliquid,BTC,62641.0
1781163900.0,hyperliquid,BTC,62689.0
1781164800.0,hyperliquid,BTC,62796.0
1781165700.0,hyperliquid,BTC,62922.0
1781166600.0,hyperliquid,BTC,62826.0
1781167500.0,hyperliquid,BTC,62915.0
1781168400.0,hyperliquid,BTC,62835.0
1781169300.0,hyperliquid,BTC,62792.0
1781170200.0,hyperliquid,BTC,62908.0
1781171100.0,hyperliquid,BTC,62895.0
1781172000.0,hyperliquid,BTC,62889.0
1781172900.0,hyperliquid,BTC,62830.0
1781173800.0,hyperliquid,BTC,62890.0
1781174700.0,hyperliquid,BTC,63119.0
1781175600.0,hyperliquid,BTC,63152.0
1781176500.0,hyperliquid,BTC,63133.0
1781177400.0,hyperliquid,BTC,63099.0
1781178300.0,hyperliquid,BTC,63072.0
1781179200.0,hyperliquid,BTC,63124.0
1781180100.0,hyperliquid,BTC,62648.0
